Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit,hand_a,rank_a,hand_b,rank_b
245,B64,ATANASOVA Kalina,51106,BUL,MARTIN-PORTUGUES Lucia,10145,ESP,Loss,14,15,R,180.0,R,5.0
245,B64,BASHTA Anna,31300,AZE,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,20960,IND,Won,15,13,L,33.0,R,44.0
245,B64,JEON Eunhye,35212,KOR,CHAMBERLAIN Maia,35361,USA,Loss,12,15,R,39.0,R,18.0
245,B64,ILIEVA Yoana,37754,BUL,MARTIS Sabina,35177,ROU,Won,15,12,L,15.0,R,73.0
245,B64,SMIRNOVA Anna,44305,AIN,KHARLAN Olga,13715,UKR,Loss,7,15,R,189.0,R,3.0
245,B64,SHAO Yaqi,31302,CHN,SZUCS Luca,42875,HUN,Won,15,14,R,32.0,L,19.0
245,B64,PRIKHODKO Tatyana,26339,KAZ,SARYBAY Aigerim,32989,KAZ,Loss,9,15,R,136.0,R,48.0
245,B64,CHOI Sebin,48614,KOR,CHART Maria,34121,GBR,Won,15,10,L,10.0,R,172.0
245,B64,VASILEVA Veronika,51855,AUS,BALZER Sara,29003,FRA,Loss,4,15,L,56.0,L,1.0
245,B32,EMURA Misaki,32026,JPN,TAKASHIMA Risa,31865,JPN,Won,15,7,R,4.0,R,37.0
245,B32,MATUSZAK Sylwia,33907,POL,QUEROLI Caroline,33874,FRA,Won,15,11,R,167.0,R,51.0
245,B32,NAVARRO Araceli,7739,ESP,MAXWELL Caitlin,34133,GBR,Loss,14,15,R,7.0,L,129.0
245,B32,ERBIL Nisanur,45353,TÜR,CRISCIO Martina,26008,ITA,Loss,13,15,R,16.0,L,23.0
245,B32,APITHY-BRUNET Manon,30542,FRA,PUSZTAI Liza,39147,HUN,Won,15,8,R,2.0,R,13.0
245,B32,GREGORIO Rossella,15098,ITA,TARTAKOVSKY Elizabeth,35774,USA,Won,15,10,L,45.0,R,11.0
245,B32,SKARBONKIEWICZ Magda,51700,USA,EIFLER Larissa,34051,GER,Loss,12,15,L,24.0,L,42.0
245,B32,JIJIEISHVILI Lika,39559,GEO,GKOUNTOURA Theodora,32856,GRE,Loss,4,15,R,59.0,R,6.0
245,B32,GEORGIADOU Despina,18021,GRE,FUNKE Julika,36389,GER,Won,15,10,L,12.0,R,124.0
245,B32,YOON Jisu,27302,KOR,GETTE Lisa,36729,GER,Won,15,12,R,17.0,R,91.0
245,B32,BATTISTON Michela,31927,ITA,YANG Hengyu,34904,CHN,Loss,14,15,R,27.0,R,26.0
245,B32,JEON Hayoung,43610,KOR,MARTIN-PORTUGUES Lucia,10145,ESP,Won,15,9,L,8.0,R,5.0
