Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Women,Sabre,2023,World Championships (Milan),24-07-2023,PEREZ CUENCA Celia,21.0,R,RIFKISS Margaux,100.0,R,Won,15,9
Women,Sabre,2023,World Championships (Milan),24-07-2023,SZUCS Luca,19.0,L,PLIEGO Paola,,R,Won,15,4
Women,Sabre,2023,World Championships (Milan),24-07-2023,VASILEVA Veronika,56.0,L,NEIKOVA Emma,109.0,R,Won,15,9
Women,Sabre,2023,World Championships (Milan),24-07-2023,BATTAI Sugar Katinka,31.0,L,SHCHUKLA Iryna,183.0,R,Won,15,9
Women,Sabre,2023,World Championships (Milan),24-07-2023,KASPIAROVICH Palina,70.0,L,GETTE Lisa,91.0,R,Loss,14,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,LEUNG Lok Man Laren,131.0,R,ALKAYA Begum,182.0,R,Won,15,11
Women,Sabre,2023,World Championships (Milan),24-07-2023,MORAN Maria Macarena,,R,MARTIS Sabina,73.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,ERBIL Nisanur,16.0,R,WEE Nicole Sher Tynn,,R,Won,15,6
Women,Sabre,2023,World Championships (Milan),24-07-2023,LOO Heidi Yan Kay,340.0,R,YOON Jisu,17.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,CORTEYN Jolien,74.0,R,GULIK Anastassiya,119.0,R,Loss,12,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,PERDIBAEVA Gulistan,164.0,R,HERBON Felice,126.0,R,Won,15,6
Women,Sabre,2023,World Championships (Milan),24-07-2023,HERNANDEZ Elena,67.0,R,UNLUDAG Deniz Selin,69.0,R,Loss,12,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,SMIRNOVA Anna,189.0,R,GONZALEZ Diana,224.0,R,Won,15,7
Women,Sabre,2023,World Championships (Milan),24-07-2023,PRIKHODKO Tatyana,136.0,R,ONG Jessica Shu Hui,,R,Won,15,14
Women,Sabre,2023,World Championships (Milan),24-07-2023,DAYKIN Kate,198.0,R,JEON Eunhye,39.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,TROIS Karina,85.0,R,KUVAEVA Alexandra,115.0,L,Loss,10,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,CHADALAVADA ANANDHA SUNDHARARAMAN Bhavani Devi,44.0,R,FU Ying,95.0,R,Won,15,6
Women,Sabre,2023,World Championships (Milan),24-07-2023,CHU Wing Kiu,63.0,R,PEREZ MAURICE Maria Belen,,L,Won,15,13
Women,Sabre,2023,World Championships (Milan),24-07-2023,BOUDIAF Saoussen,52.0,R,CHART Maria,172.0,R,Loss,14,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,EMURA Misaki,4.0,R,PERDIBAEVA Gulistan,164.0,R,Won,15,9
Women,Sabre,2023,World Championships (Milan),24-07-2023,MORMILE Chiara,25.0,L,TAKASHIMA Risa,37.0,R,Loss,12,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,MATUSZAK Sylwia,167.0,R,HRAMOVA Olga A.,49.0,R,Won,15,10
Women,Sabre,2023,World Championships (Milan),24-07-2023,FUKUSHIMA Shihomi,38.0,R,QUEROLI Caroline,51.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,NAVARRO Araceli,7.0,R,HENG Juliet Jie Min,89.0,R,Won,15,8
Women,Sabre,2023,World Championships (Milan),24-07-2023,MAXWELL Caitlin,129.0,L,GORDON Tamar,263.0,R,Won,15,12
Women,Sabre,2023,World Championships (Milan),24-07-2023,TOLEDO Julieta,143.0,R,ERBIL Nisanur,16.0,R,Loss,11,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,PEREZ CUENCA Celia,21.0,R,CRISCIO Martina,23.0,L,Loss,12,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,APITHY-BRUNET Manon,2.0,R,KUVAEVA Alexandra,115.0,L,Won,15,6
Women,Sabre,2023,World Championships (Milan),24-07-2023,CIESLAR Zuzanna,40.0,R,PUSZTAI Liza,13.0,R,Loss,10,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,GREGORIO Rossella,45.0,L,LEUNG Lok Man Laren,131.0,R,Won,15,10
Women,Sabre,2023,World Championships (Milan),24-07-2023,PAIZI Marina,204.0,R,TARTAKOVSKY Elizabeth,11.0,R,Loss,13,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,SKARBONKIEWICZ Magda,24.0,L,CHU Wing Kiu,63.0,R,Won,15,7
Women,Sabre,2023,World Championships (Milan),24-07-2023,AU Sin Ying,90.0,R,EIFLER Larissa,42.0,L,Loss,10,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,ZHANG Xinyi,54.0,R,JIJIEISHVILI Lika,59.0,R,Loss,14,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,PEKELMAN Luana,82.0,R,GKOUNTOURA Theodora,6.0,R,Loss,6,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,GEORGIADOU Despina,12.0,L,UNLUDAG Deniz Selin,69.0,R,Won,15,13
Women,Sabre,2023,World Championships (Milan),24-07-2023,BATTAI Sugar Katinka,31.0,L,FUNKE Julika,124.0,R,Loss,9,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,KOZACZUK Malgorzata,55.0,L,YOON Jisu,17.0,R,Loss,12,15
Women,Sabre,2023,World Championships (Milan),24-07-2023,GETTE Lisa,91.0,R,MARTON Anna,28.0,R,Won,15,13
