Gender,Weapon,Season,Competition,Date of Duel,Athlete Name,Athlete Year End World Ranking,Athlete Hand,Opponent Name,Opponent Year End World Ranking,Opponent Hand,Result,Hit,Counter-Hit
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ANOKHIN Vadim,27.0,R,KAUTER Michael,337.0,R,Won,14,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ITO Inochi,163.0,L,STANKEVYCH Volodymyr,71.0,R,Loss,11,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NOLLNER Dylan,314.0,R,TREVEJO Ivan,,L,Loss,7,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PRIINITS Sten,29.0,R,ROBEIRI Ulrich,,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NABIL Ahmed,,L,BRATTON Benjamin,30.0,R,Won,15,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,AREDE Pedro,262.0,R,RODRIGUEZ John Edison,34.0,L,Loss,11,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ALIMZHANOV Elmir,67.0,R,SCHWANTES Athos,236.0,R,Won,14,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,HEINZER Max,14.0,R,NABIL Ahmed,,L,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FAVA Alex,133.0,R,RUBES Martin,33.0,R,Won,15,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,IBANEZ Alvaro,135.0,R,FARDZINOV Alan,58.0,R,Loss,7,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FONG Kiu,47.0,R,VERWIJLEN Bas,43.0,R,Loss,6,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KAUTER Fabian,201.0,R,ANOKHIN Vadim,27.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FONSON Erwan,,R,NIKISHIN Bogdan,10.0,R,Loss,10,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,LI Zhen,95.0,L,BESKIN Grigori,74.0,R,Loss,5,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NIGGELER Michele,39.0,R,BOCZKO Gabor,,R,Loss,14,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,GUSTIN Ronan,21.0,R,KUCHALSKI Tim,,L,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KHODOS Sergey,31.0,R,MIGALLON Guillermo,876.0,R,Won,15,7
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BERAN Jiri,22.0,R,BAROGLIO Andrea,231.0,R,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ALIMZHANOV Elmir,67.0,R,NOVOSJOLOV Nikolai,3.0,R,Loss,12,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PARK Kyoungdoo,5.0,R,BRAUN Rico,204.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,RODRIGUEZ John Edison,34.0,L,AVDEEV Anton,,L,Loss,6,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,ANTKIEWICZ Mateusz,,R,FERRARIS Luca,165.0,L,Loss,8,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,MEDVEDIEV Vitalii,,R,LIMARDO GASCON Ruben,8.0,L,Loss,2,4
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,GAROZZO Enrico,12.0,R,TARANENKO Yuriy,818.0,R,Loss,12,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,RAMIREZ Yeisser,1028.0,R,MIKOLAJCZAK Krzysztof,,L,Loss,10,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KIM Seung Gu,,R,LUCENAY Jean-Michel,11.0,L,Loss,12,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BORSKY Peer,111.0,R,JUNG Seunghwa,,R,Won,15,14
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,MINOBE Kazuyasu,16.0,L,BACKER Fredrik,320.0,L,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FICHERA Marco,4.0,R,HEREY Anatoliy,42.0,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,REDLI Andras,19.0,R,TREVEJO Ivan,,L,Won,13,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,NGUYEN Tien Nhat,,R,BOREL Yannick,1.0,R,Loss,13,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,IMRE Geza,,L,KWEON Youngjun,6.0,R,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FIEDLER Joerg,,L,VON DER OSTEN Frederik,51.0,R,Won,15,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BANYAI Zsombor,73.0,L,PRIINITS Sten,29.0,R,Loss,8,9
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,SANTARELLI Andrea,20.0,R,JERENT Daniel,7.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PITRA Pavel,81.0,R,BONNAIRE Jonathan,63.0,R,Won,15,11
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KALININ Alexey,110.0,R,FREILICH Yuval Shalom,109.0,L,Loss,8,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PEREIRA Yulen,76.0,R,STAUB Florian,,R,Won,15,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,STANKEVYCH Volodymyr,71.0,R,GRUMIER Gauthier,,L,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,HEINZER Max,14.0,R,FAVA Alex,133.0,R,Won,15,10
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FARDZINOV Alan,58.0,R,VERWIJLEN Bas,43.0,R,Won,15,12
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,KAUTER Fabian,201.0,R,NIKISHIN Bogdan,10.0,R,Loss,11,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BESKIN Grigori,74.0,R,BOCZKO Gabor,,R,Loss,10,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,GUSTIN Ronan,21.0,R,KHODOS Sergey,31.0,R,Loss,12,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,BERAN Jiri,22.0,R,NOVOSJOLOV Nikolai,3.0,R,Loss,9,15
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,PARK Kyoungdoo,5.0,R,AVDEEV Anton,,L,Loss,7,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,FERRARIS Luca,165.0,L,LIMARDO GASCON Ruben,8.0,L,Loss,11,13
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,TARANENKO Yuriy,818.0,R,MIKOLAJCZAK Krzysztof,,L,Loss,7,8
Men,Epee,2016/2017,Heidenheimer Pokal (Heidenheim),21-01-2016,LUCENAY Jean-Michel,11.0,L,BORSKY Peer,111.0,R,Won,15,7
