Gender,Weapon,Season,Competition,Round,Fencer1 Name,Fencer1 Nation,Fencer1 Score,Fencer1 Winner,Fencer2 Name,Fencer2 Nation,Fencer2 Score,Fencer2 Winner,Referees
men,epee,2023,European Games,A64,ALLEGRE Paul,FRA,12,False,BAYARD Alexis,SUI,15,True,"Ref DELATTRE Jeffrey BEL, Video CELLER Pavol SVK"
men,epee,2023,European Games,A64,EROLCEVIK Doruk,TÜR,10,True,DERKSEN Ruben,NED,6,False,"Ref DEAMER Luke GBR, Video KOVRIJNYKH Andrei RSA"
men,epee,2023,European Games,A64,ROMERO Juan Pedro,ESP,15,True,VILENSKY Dov Ber,ISR,9,False,"Ref BUCHS Daniel SUI, Video CELLER Pavol SVK"
men,epee,2023,European Games,A64,SIKLOSI Gergely,HUN,15,True,GIANNOTTE Flavio,LUX,11,False,"Ref DELATTRE Jeffrey BEL, Video KOVRIJNYKH Andrei RSA"
men,epee,2023,European Games,A64,KELLY Christopher,SWE,9,False,SALM Markus,EST,10,True,"Ref CELLER Pavol SVK, Video BUCHS Daniel SUI"
men,epee,2023,European Games,A64,KOCH Mate Tamas,HUN,10,True,CIMINI Gabriele,ITA,6,False,"Ref KOVACEVIC Miljan SRB, Video PETKOVA Lazarina BUL"
men,epee,2023,European Games,A64,ANDREWS Benjamin,GBR,12,False,BIELEC Maciej,POL,15,True,"Ref AMEZ-DROZ Leon SUI, Video BAKUM Andrii UKR"
men,epee,2023,European Games,A64,HEINZER Max,SUI,15,True,BIRO Alexander,AUT,10,False,"Ref MAGE Pascal FRA, Video KOVACEVIC Miljan SRB"
men,epee,2023,European Games,A64,MAKIIENKO Ievgen,UKR,13,False,SARID Alon,ISR,14,True,"Ref PETKOVA Lazarina BUL, Video KOVRIJNYKH Andrei RSA"
men,epee,2023,European Games,A64,COHEN Yonatan,ISR,15,True,LOYOLA Neisser,BEL,9,False,"Ref ROGNON Nadia SUI, Video KOVACEVIC Miljan SRB"
men,epee,2023,European Games,A64,ANDRASFI Tibor,HUN,15,True,FRAZAO Miguel,POR,12,False,"Ref BAKUM Andrii UKR, Video PETKOVA Lazarina BUL"
men,epee,2023,European Games,A64,KONGSTAD Conrad Seibaek,DEN,13,False,MAHRINGER Josef,AUT,15,True,"Ref AMEZ-DROZ Leon SUI, Video MAGE Pascal FRA"
men,epee,2023,European Games,A64,HERZBERG Fabian,GER,9,False,VISMARA Federico,ITA,15,True,"Ref BAKUM Andrii UKR, Video PETKOVA Lazarina BUL"
men,epee,2023,European Games,A32,CANNONE Romain,FRA,9,False,HAURI Ian,SUI,15,True,"Ref KOVACEVIC Miljan SRB, Video MADR Vilem CZE"
men,epee,2023,European Games,A32,TULEN Tristan,NED,10,False,SVICHKAR Roman,UKR,15,True,"Ref SAKHVADZE David GEO, Video DUL Michal POL"
