Competition ID,Round,Athlete Name,Athlete ID,Athlete Nation,Opponent Name,Opponent ID,Opponent Nation,Result,Hit,Counter-Hit
1387,A32,EL RHAZZOULY Amir,51110,MAR,GARCIA-ALZORRIZ Roger,32394,ESP,Won,15,12
1387,A32,ROBIN Noe,42984,SEN,FILES Petar,30087,CRO,Loss,14,15
1387,A32,BENYUS Attila,52565,HUN,PACHON Santiago,16744,COL,Loss,14,15
1387,A32,PANAZZOLO Matteo,48987,ITA,LOMBARDI Giulio,48986,ITA,Loss,7,15
1387,A32,ARCHER Kristjan,23590,GBR,BEKKAT Thibaud,33862,ALG,Won,15,11
1387,A32,BRETEAU Ignacio,32606,ESP,MINOTT Kamal,31990,GBR,Loss,14,15
1387,A32,ROBSON Samuel Elijah,50909,SGP,MARTINI Tommaso,46216,ITA,Loss,6,15
1387,A32,SZEMES Gergo,43449,HUN,ADOUL Raian,49228,ITA,Won,15,7
1387,A32,FRANZONI Giuseppe,48984,ITA,LACASTA Sergio,25512,ESP,Won,15,7
1387,A32,ZABALA Juan,49385,ESP,DONAGHUE Joe,47687,GBR,Loss,11,15
1387,A32,MACEDO Luis,42924,POR,INGARGIOLA Francesco,29961,ITA,Loss,5,15
1387,A32,LLAVADOR Carlos,21966,ESP,FERNANDEZ HERNANDEZ Erik,39464,ESP,Won,15,1
1387,A32,IANDOLO Francesco Pio,39374,ITA,LESKOVAC Janko,46551,CRO,Won,15,7
1387,A32,DIAZ ESCALONA Mario,46064,ESP,LECHNER Moritz,36544,AUT,Won,15,9
1387,A32,SPOLJAR Borna,45857,CRO,ROSATELLI Damiano,28626,ITA,Loss,10,15
1387,A16,DI TOMMASO Alessio,41836,ITA,EL RHAZZOULY Amir,51110,MAR,Loss,13,15
1387,A16,FILES Petar,30087,CRO,PACHON Santiago,16744,COL,Won,15,10
1387,A16,LOMBARDI Giulio,48986,ITA,ARCHER Kristjan,23590,GBR,Loss,9,15
1387,A16,MINOTT Kamal,31990,GBR,MARTINI Tommaso,46216,ITA,Loss,7,15
1387,A16,SZEMES Gergo,43449,HUN,FRANZONI Giuseppe,48984,ITA,Won,15,12
1387,A16,DONAGHUE Joe,47687,GBR,INGARGIOLA Francesco,29961,ITA,Loss,5,15
1387,A16,LLAVADOR Carlos,21966,ESP,IANDOLO Francesco Pio,39374,ITA,Won,15,6
1387,A16,DIAZ ESCALONA Mario,46064,ESP,ROSATELLI Damiano,28626,ITA,Loss,14,15
1387,A8,EL RHAZZOULY Amir,51110,MAR,FILES Petar,30087,CRO,Loss,9,15
1387,A8,ARCHER Kristjan,23590,GBR,MARTINI Tommaso,46216,ITA,Won,15,14
1387,A8,SZEMES Gergo,43449,HUN,INGARGIOLA Francesco,29961,ITA,Won,15,14
1387,A8,LLAVADOR Carlos,21966,ESP,ROSATELLI Damiano,28626,ITA,Won,15,9
1387,A4,FILES Petar,30087,CRO,ARCHER Kristjan,23590,GBR,Loss,6,15
1387,A4,SZEMES Gergo,43449,HUN,LLAVADOR Carlos,21966,ESP,Loss,10,15
1387,A2,ARCHER Kristjan,23590,GBR,LLAVADOR Carlos,21966,ESP,Loss,10,15
1391,A128,PORTILLO Claudia,52627,ESP,KALOCSAI Luca,49823,HUN,Loss,10,15
1391,A128,CANDEAGO Eleonora,48980,ITA,STAMOS Maria,44832,GRE,Won,15,10
1391,A128,HANZL Lilla Zsofia,41901,HUN,VAN ERVEN GARCIA Saskia Loretta,5245,COL,Loss,6,15
1391,A128,DAJCIC Marcela,20610,CRO,DOBRININA Uliana,53673,MDA,Won,15,9
1391,A128,MESTERI Viktoria,30084,HUN,BUTIN BIK Elise,43664,NED,Won,15,12
1391,A128,CAO Ying,36820,CAN,POZGAJCIC Lorena,51437,CRO,Won,15,8
1391,A128,FERNANDEZ ALVAREZ Beatriz,46073,ESP,VOGEL Greta,51719,GER,Loss,2,15
1391,A128,NEKIFOR Erika,45071,HUN,TELLEZ Sofia,52023,ESP,Won,15,9
1391,A128,GOROBET Ecaterina,42444,MDA,MARCOS PERAL Mara,54254,ESP,Won,15,8
1391,A128,PAPP Jazmin,54297,HUN,OJEDA Marina,37262,ESP,Won,15,6
1391,A128,JOSAN Uliana-Dumitrita,53674,MDA,TOLGYESI Zsofia,48239,HUN,Won,15,13
1391,A128,CANTUCCI Gaia,45304,SVK,BERGER Julia,58807,GER,Won,15,3
1391,A128,POLONYI Petra,55273,HUN,TERNI Maria Ludmila,23037,ARG,Won,15,9
1391,A128,JENG Zi-Yin,57031,TPE,GALE Madeleine,51445,GBR,Loss,13,15
1391,A128,GONZALEZ RAMOS Claudia,57096,ESP,MCLAUGHLIN Mhairi,38179,GBR,Loss,6,15
1391,A128,BADAR Szonja,56841,HUN,EISTERT Julia,45878,AUT,Loss,10,15
1391,A64,KONDRICZ Kata,32912,HUN,KALOCSAI Luca,49823,HUN,Won,15,8
1391,A64,POLTZ Anna,38860,HUN,LYCZBINSKA Hanna,12780,POL,Loss,10,15
1391,A64,MOHAMED Aida,4164,HUN,RUSTLER Aline,51943,GER,Won,15,3
1391,A64,CANDEAGO Eleonora,48980,ITA,WOLF Eszter,49377,HUN,Loss,12,15
1391,A64,JEGLINSKA Aleksandra,41843,POL,VAN ERVEN GARCIA Saskia Loretta,5245,COL,Won,15,10
1391,A64,BLAZIC Dorja,42839,CRO,NEMCOVA Stepanka,39433,CZE,Won,15,4
1391,A64,JORGENSEN Laeticia,32575,DEN,TSURKIS Anastasiia,51643,ISR,Won,15,10
1391,A64,DAJCIC Marcela,20610,CRO,GRANDIS Aurora,51430,ITA,Loss,14,15
1391,A64,BRETEAU Andrea,32393,ESP,MESTERI Viktoria,30084,HUN,Won,15,8
1391,A64,CORBU Emilia,45338,ROU,SOPIT Olga,45352,UKR,Won,14,13
1391,A64,SYNORADZKA Martyna,9908,POL,CIAMPALINI Vittoria,51432,ITA,Loss,9,15
1391,A64,CAO Ying,36820,CAN,COJOCARI Maria,52623,MDA,Won,15,5
1391,A64,MOLINARI Matilde,54285,ITA,VOGEL Greta,51719,GER,Won,15,6
1391,A64,KOVACS Reka,51068,HUN,HOHENADEL Celia,47435,GER,Loss,13,15
1391,A64,LUPKOVICS Dora,17872,HUN,KOLLAR Anna,52901,HUN,Won,15,5
1391,A64,NEKIFOR Erika,45071,HUN,MARINO Maria,24463,ESP,Loss,12,15
1391,A64,WALCZYK-KLIMASZYK Julia,30327,POL,GOROBET Ecaterina,42444,MDA,Won,15,7
1391,A64,PANTANETTI Benedetta,48983,ITA,LORENZI Margherita,48208,ITA,Won,15,7
1391,A64,POLOZIUK Alina,43455,UKR,GARYFALLOU Stavroula Myrsini,52780,GRE,Won,15,11
1391,A64,PAPP Jazmin,54297,HUN,SCHREIBER Ester,27945,SWE,Won,15,10
1391,A64,CRISTINO Anna,48974,ITA,JOSAN Uliana-Dumitrita,53674,MDA,Won,15,2
1391,A64,ESTEBAN Maxine Isabel,35564,CIV,GROESS Chiara,46493,AUT,Won,15,7
1391,A64,KREISS Fanni,9426,HUN,HOEFLER Marie,51657,GER,Won,15,4
1391,A64,CANTUCCI Gaia,45304,SVK,KOTHIERINGER Anna Sophie,47434,GER,Loss,7,15
1391,A64,CASTRO Ariadna,41476,ESP,POLONYI Petra,55273,HUN,Won,15,10
